"geneID","varExps","congruence","score"
"C00086",0.947485000824351,1,0.973742500412175
"K01714",0.965013978559317,0.982351295630128,0.973682637094722
"K00602",0.964621128420472,0.982151250855379,0.973386189637926
"K01000",0.963771234378357,0.981718548057019,0.972744891217688
"K00847",0.963291532712472,0.981474184155565,0.972382858434018
"K00948",0.963227845253139,0.981441733467471,0.972334789360305
"K00927",0.963177704726955,0.981416170382638,0.972296937554797
"K01939",0.963163326498929,0.981408883268297,0.972286104883613
"K00053",0.961359746974157,0.98048956249588,0.970924654735019
"K00609",0.961021887221992,0.980317197585167,0.97066954240358
"K01754",0.959503149861119,0.979542348990532,0.969522749425826
"K01653",0.958999832857619,0.979285350169185,0.969142591513402
"K01776",0.95870133250752,0.979132975235199,0.968917153871359
"K01869",0.957992011482817,0.978770662822959,0.968381337152888
"K01740",0.957133479494082,0.978331964881794,0.967732722187938
"K02434",0.956857662761168,0.97819100857984,0.967524335670504
"K01934",0.955817026592147,0.977658976457598,0.966738001524873
"K01591",0.955748011361922,0.977623648061023,0.966685829711473
"K00791",0.955364304573737,0.977427409867574,0.966395857220655
"K01759",0.955161052477255,0.977323447817634,0.966242250147445
"K04077",0.954401741153888,0.976934881669599,0.965668311411744
"K00928",0.954035615062973,0.976747490789727,0.96539155292635
"K04564",0.95363086663129,0.976540288200401,0.965085577415846
"K11754",0.952849760937877,0.976140230125065,0.964494995531471
"K01091",0.951932872615954,0.975670464334797,0.963801668475375
"K02110",0.951827209774628,0.975616318950637,0.963721764362632
"K01929",0.951106843800546,0.975247069341611,0.963176956571078
"K16066",0.950378298203848,0.974873497768052,0.96262589798595
"K00943",0.949876787234663,0.974616237541818,0.96224651238824
"K03431",0.949403266288424,0.974373284407964,0.961888275348194
"K01937",0.949306329132469,0.974323517816221,0.961814923474345
"K01733",0.949006197107599,0.974169523562774,0.961587860335186
"K01873",0.948678139843407,0.974001138807029,0.961339639325218
"K00134",0.948219951815042,0.973765876208499,0.96099291401177
"C00137",0.920216097842301,1,0.96010804892115
"K01810",0.945339687142495,0.972285818203008,0.958812752672752
"K21064",0.94529933650037,0.972265031867016,0.958782184183693
"K01465",0.944877290005046,0.972047960741818,0.958462625373432
"K08483",0.944428017134957,0.97181693988169,0.958122478508323
"K01704",0.942402920145577,0.970774381930162,0.956588651037869
"K01803",0.942121844462697,0.970629623450828,0.956375733956762
"K02435",0.942090977723441,0.970613707461113,0.956352342592277
"K00003",0.940853771281402,0.969976162384582,0.955414966832992
"K00997",0.940744288352759,0.969919733808575,0.955332011080667
"K01775",0.940612396532535,0.969851763721163,0.955232080126849
"K03070",0.939017623950027,0.969029248520264,0.954023436235146
"K00817",0.938832661538276,0.968933779732935,0.953883220635606
"C00158",0.905867363325638,1,0.952933681662819
"K01358",0.937224598509247,0.968103635560664,0.952664117034955
"K00052",0.935019659643331,0.966964160269523,0.950991909956427
"K17686",0.93411353983337,0.966495528178747,0.950304534006058
"K01945",0.933766015266284,0.966315695519915,0.950040855393099
"K00616",0.932926349465618,0.965881132147576,0.949403740806597
"K00640",0.932478938915712,0.965649519273765,0.949064229094739
"K00014",0.932466690831822,0.965643178579265,0.949054934705544
"K20861",0.932349772587964,0.965582572352528,0.948966172470246
"K01609",0.93201054696695,0.96540690996973,0.94870872846834
"C00346",0.896914757227243,1,0.948457378613621
"K00588",0.930906916054832,0.964835159927119,0.947871037990976
"K00882",0.930893884532141,0.964828455997979,0.94786117026506
"K01870",0.930691439717214,0.964723497469067,0.94770746859314
"K00859",0.929085308632953,0.96389075252028,0.946488030576617
"K01495",0.927823234576672,0.963235765583222,0.945529500079947
